"Date","Time","Global_active_power","Global_reactive_power","Voltage","Global_intensity","Sub_metering_1","Sub_metering_2","Sub_metering_3"
2006-12-18,"00:00:00",0.278,0.126,246.17,1.2,0,2,0
2006-12-18,"00:01:00",0.238,0.056,246.4,1,0,0,0
2006-12-18,"00:02:00",0.208,0,246.46,0.8,0,0,0
2006-12-18,"00:03:00",0.206,0,245.94,0.8,0,0,0
2006-12-18,"00:04:00",0.206,0,245.98,0.8,0,0,0
2006-12-18,"00:05:00",0.206,0,245.56,0.8,0,0,0
2006-12-18,"00:06:00",0.6198,0,245.22,0.8,0,0,0
2006-12-18,"00:07:00",0.204,0,244.14,0.8,0,0,0
2006-12-18,"00:08:00",0.60715,0,244,1,0,0,0
2006-12-18,"00:09:00",0.316,0.134,244.62,1.4,0,0,0
2006-12-18,"00:10:00",0.308,0.132,244.61,1.4,0,0,0
2006-12-18,"00:11:00",0.5951,0.134,244.97,1.4,0,0,0
2006-12-18,"00:12:00",0.59105,0.136,245.51,1.4,0,0,0
2006-12-18,"00:13:00",0.306,0.14,246.37,1.4,0,0,0
2006-12-18,"00:14:00",0.306,0.14,246.42,1.4,0,0,0
2006-12-18,"00:15:00",0.302,0.14,246.11,1.4,0,0,0
2006-12-18,"00:16:00",0.57895,0.14,246.32,1.4,0,0,0
2006-12-18,"00:17:00",0.577,0.136,245.61,1.4,0,0,0
2006-12-18,"00:18:00",0.3,0.138,245.86,1.4,0,0,0
2006-12-18,"00:19:00",0.302,0.142,246.73,1.4,0,0,0
2006-12-18,"00:20:00",0.5698,0.136,245.53,1.4,0,0,0
2006-12-18,"00:21:00",0.5664,0.138,244.92,1.6,0,0,0
2006-12-18,"00:22:00",0.376,0.24,244.78,1.8,0,0,0
2006-12-18,"00:23:00",0.56245,0.238,244.49,1.8,0,0,0
2006-12-18,"00:24:00",0.372,0.236,244.02,1.8,0,0,0
2006-12-18,"00:25:00",0.372,0.236,243.92,1.8,0,0,0
2006-12-18,"00:26:00",0.372,0.236,244.04,1.8,0,0,0
2006-12-18,"00:27:00",0.55475,0.234,243.56,1.8,0,0,0
2006-12-18,"00:28:00",0.5529,0.234,243.87,1.8,0,0,0
2006-12-18,"00:29:00",0.366,0.234,243.73,1.8,0,0,0
2006-12-18,"00:30:00",0.5505,0.234,243.6,1.8,0,0,0
2006-12-18,"00:31:00",0.342,0.2,243.19,1.6,0,0,0
2006-12-18,"00:32:00",0.294,0.132,244.16,1.2,0,0,0
2006-12-18,"00:33:00",0.54475,0,244.14,1,0,0,0
2006-12-18,"00:34:00",0.202,0,243.24,0.8,0,0,0
2006-12-18,"00:35:00",0.54085,0,243.47,0.8,0,0,0
2006-12-18,"00:36:00",0.202,0,243.71,0.8,0,0,0
2006-12-18,"00:37:00",0.5373,0,244.17,0.8,0,0,0
2006-12-18,"00:38:00",0.204,0,244.46,0.8,0,0,0
2006-12-18,"00:39:00",0.53375,0,244.92,0.8,0,0,0
2006-12-18,"00:40:00",0.206,0,245.31,0.8,0,0,0
2006-12-18,"00:41:00",0.5311,0,244.02,0.8,0,0,0
2006-12-18,"00:42:00",0.204,0,243.88,0.8,0,0,0
2006-12-18,"00:43:00",0.5309,0,243.94,0.8,0,0,0
2006-12-18,"00:44:00",0.202,0,243.78,0.8,0,0,0
2006-12-18,"00:45:00",0.202,0,243.79,0.8,0,0,0
2006-12-18,"00:46:00",0.53065,0,243.15,0.8,0,0,0
2006-12-18,"00:47:00",0.5306,0,243.79,0.8,0,0,0
2006-12-18,"00:48:00",0.5328,0.1,244.15,1.4,0,0,0
2006-12-18,"00:49:00",0.53265,0.134,245.12,1.4,0,0,0
2006-12-18,"00:50:00",0.53265,0.134,245.27,1.4,0,0,0
2006-12-18,"00:51:00",0.53265,0.136,245.61,1.4,0,0,0
2006-12-18,"00:52:00",0.304,0.132,244.63,1.4,0,0,0
2006-12-18,"00:53:00",0.53245,0.13,244.2,1.4,0,0,0
2006-12-18,"00:54:00",0.3,0.128,243.98,1.4,0,0,0
2006-12-18,"00:55:00",0.296,0.122,242.81,1.2,0,0,0
2006-12-18,"00:56:00",0.532,0.124,242.92,1.2,0,0,0
2006-12-18,"00:57:00",0.5319,0.126,243.36,1.2,0,0,0
2006-12-18,"00:58:00",0.296,0.126,243.64,1.2,0,0,0
2006-12-18,"00:59:00",0.53165,0.13,244.18,1.2,0,0,0
2006-12-18,"01:00:00",0.296,0.13,244.05,1.2,0,0,0
2006-12-18,"01:01:00",0.298,0.132,244.43,1.2,0,0,0
2006-12-18,"01:02:00",0.52915,0.132,244.5,1.2,0,0,0
2006-12-18,"01:03:00",0.324,0.146,243.95,1.6,0,0,0
2006-12-18,"01:04:00",0.5279,0.234,243.72,1.8,0,0,0
2006-12-18,"01:05:00",0.372,0.234,243.74,1.8,0,0,0
2006-12-18,"01:06:00",0.372,0.232,243.46,1.8,0,0,0
2006-12-18,"01:07:00",0.5279,0.226,242.39,1.8,0,0,0
