"Date","Time","Global_active_power","Global_reactive_power","Voltage","Global_intensity","Sub_metering_1","Sub_metering_2","Sub_metering_3"
"17/12/2006","00:00:00",2.37745,0.152,242.73,4.4,0,2,0
"17/12/2006","00:01:00",1.52,0.22,242.2,7.4,0,1,0
"17/12/2006","00:02:00",2.3745,0.194,240.14,12.6,0,2,0
"17/12/2006","00:03:00",2.974,0.194,239.97,12.4,0,1,0
"17/12/2006","00:04:00",2.4484,0.198,240.39,11.8,0,2,0
"17/12/2006","00:05:00",2.46085,0.198,240.59,11.8,0,1,0
"17/12/2006","00:06:00",2.858,0.202,241.14,11.8,0,1,0
"17/12/2006","00:07:00",2.47305,0.208,241.62,10.8,0,2,0
"17/12/2006","00:08:00",2.47935,0.244,243.75,3,0,1,0
"17/12/2006","00:09:00",0.838,0.334,242.09,4.8,0,2,0
"17/12/2006","00:10:00",2.4421,0.298,239.45,10.8,0,1,0
"17/12/2006","00:11:00",2.598,0.296,239.44,10.8,0,1,0
"17/12/2006","00:12:00",2.56,0.286,238.71,10.8,0,2,0
"17/12/2006","00:13:00",2.4959,0.278,236.95,10.6,0,1,0
"17/12/2006","00:14:00",2.472,0.194,237.55,10.4,0,1,0
"17/12/2006","00:15:00",2.47385,0.166,238.48,8,0,1,0
"17/12/2006","00:16:00",0.422,0.184,239.79,1.8,0,2,0
"17/12/2006","00:17:00",0.79,0.178,239.47,4.6,0,1,0
"17/12/2006","00:18:00",2.436,0.12,238.51,10.2,0,1,0
"17/12/2006","00:19:00",2.396,0.056,239.03,10,0,1,0
"17/12/2006","00:20:00",2.338,0,238.37,9.8,0,1,0
"17/12/2006","00:21:00",2.46845,0.062,238.38,9.6,0,0,0
"17/12/2006","00:22:00",0.276,0,240.56,1.2,0,0,0
"17/12/2006","00:23:00",2.37495,0,239.84,4.6,0,0,0
"17/12/2006","00:24:00",2.332,0.06,239.11,9.6,0,0,0
"17/12/2006","00:25:00",2.42265,0.058,239.99,9.6,0,0,0
"17/12/2006","00:26:00",2.354,0.058,240.64,9.8,0,0,0
"17/12/2006","00:27:00",2.332,0.06,239.45,9.6,0,0,0
"17/12/2006","00:28:00",2.406,0.056,241.4,9.8,0,0,0
"17/12/2006","00:29:00",2.39115,0,243.68,4,0,0,0
"17/12/2006","00:30:00",0.286,0,244.03,1.2,0,0,0
"17/12/2006","00:31:00",2.24795,0.05,242.07,8.8,0,0,0
"17/12/2006","00:32:00",2.2209,0.056,241.86,9.8,0,0,0
"17/12/2006","00:33:00",2.23055,0.056,241.7,9.8,0,0,0
"17/12/2006","00:34:00",2.2758,0,240,10,0,0,0
"17/12/2006","00:35:00",2.26865,0.094,242,5.6,0,0,0
"17/12/2006","00:36:00",2.2101,0.104,242.58,1.6,0,0,0
"17/12/2006","00:37:00",1.458,0.09,242.3,7.4,0,0,0
"17/12/2006","00:38:00",2.1711,0.078,241.86,10.2,0,0,0
"17/12/2006","00:39:00",2.454,0.074,240.76,10.2,0,0,0
"17/12/2006","00:40:00",2.2034,0.078,241.52,10.2,0,0,0
"17/12/2006","00:41:00",2.028,0.084,241.88,9,0,0,0
"17/12/2006","00:42:00",2.1497,0.108,243.65,1.6,0,0,0
"17/12/2006","00:43:00",2.0979,0.098,242.62,5.2,0,0,0
"17/12/2006","00:44:00",2.0884,0.076,241.43,10.2,0,0,0
"17/12/2006","00:45:00",2.456,0.076,241.18,10.2,0,0,0
"17/12/2006","00:46:00",2.45,0.074,240.82,10,0,0,0
"17/12/2006","00:47:00",2.448,0.074,240.78,10,0,0,0
"17/12/2006","00:48:00",0.93,0,242.94,5.6,0,0,0
"17/12/2006","00:49:00",2.0608,0,243.84,1.2,0,0,0
"17/12/2006","00:50:00",2.03,0,243.11,7.2,0,0,0
"17/12/2006","00:51:00",2.02645,0.048,241.98,10,0,0,0
"17/12/2006","00:52:00",2.456,0.048,242.01,10,0,0,0
"17/12/2006","00:53:00",2.0218,0.046,241.38,10,0,0,0
"17/12/2006","00:54:00",2.122,0.048,240.91,9.2,0,0,0
"17/12/2006","00:55:00",0.356,0.07,242.13,1.4,0,0,0
"17/12/2006","00:56:00",1.99375,0.062,241.5,5.6,0,0,0
"17/12/2006","00:57:00",2.426,0,240.45,10,0,0,0
"17/12/2006","00:58:00",2.03425,0,240.35,10,0,0,0
"17/12/2006","00:59:00",2.03465,0,240.65,10,0,0,0
"17/12/2006","01:00:00",1.008,0,242.35,5.4,0,0,0
"17/12/2006","01:01:00",1.95455,0,243.4,1.8,0,0,0
"17/12/2006","01:02:00",2.676,0.088,240.69,11.4,0,0,0
"17/12/2006","01:03:00",2.0909,0.208,239.13,15.6,0,0,0
"17/12/2006","01:04:00",4.582,0.258,238.08,19.6,0,13,0
"17/12/2006","01:05:00",5.282,0.15,237.38,22.4,0,35,0
"17/12/2006","01:06:00",2.2208,0.096,241.35,10.4,0,28,0
"17/12/2006","01:07:00",2.24375,0.084,240.95,13.6,0,37,0
"17/12/2006","01:08:00",4.618,0.104,239.61,19.6,0,27,0
"17/12/2006","01:09:00",5.242,0.178,239.49,21.8,0,37,0
"17/12/2006","01:10:00",4.86,0.198,239.65,20.2,0,36,0
"17/12/2006","01:11:00",2.57475,0.238,240.39,16,0,36,0
"17/12/2006","01:12:00",3.426,0.256,240.31,14.4,0,37,0
"17/12/2006","01:13:00",3.423,0.214,238.15,22,0,35,0
"17/12/2006","01:14:00",3.494,0.23,237.91,22,0,36,0
"17/12/2006","01:15:00",3.5993,0.21,237.44,22,0,36,0
"17/12/2006","01:16:00",3.858,0.24,238.52,16.6,0,36,0
"17/12/2006","01:17:00",2.822,0.188,239.55,11.8,0,36,0
"17/12/2006","01:18:00",3.84,0.164,238.27,16.6,0,35,0
"17/12/2006","01:19:00",4.636,0.14,237.37,19.4,0,36,0
"17/12/2006","01:20:00",3.86285,0.152,237.17,19.4,0,35,0
"17/12/2006","01:21:00",4.652,0.142,237.92,19.4,0,36,0
"17/12/2006","01:22:00",3.24715,0.13,239.82,14.6,0,26,0
"17/12/2006","01:23:00",1.756,0.05,241.18,7.6,0,24,0
"17/12/2006","01:24:00",3.2938,0,239.84,15,0,36,0
"17/12/2006","01:25:00",4.5,0,239.04,18.8,0,36,0
"17/12/2006","01:26:00",3.37245,0,240.29,14.8,0,21,0
"17/12/2006","01:27:00",3.94,0,239.19,16.6,0,28,0
"17/12/2006","01:28:00",3.4475,0,240.8,10,0,37,0
